col0,col1,col2,col3,col4,col5,col6,col7
Băiuș,35,1059,Moldova,Leova District,commune of Moldova,Băiuș,Cociulia Nouă
Zăbriceni,4568,2147,Moldova,Edineț District,commune of Moldova,Zăbriceni,Onești
Ecaterinovca,40.33,1512,Moldova,Cimișlia District,commune of Moldova,Ecaterinovca,Coștangalia
Cîietu,2,1211,Moldova,Cantemir District,commune of Moldova,Cîietu,Dimitrova
Cuhureștii de Sus,4.99,2173,Moldova,Florești District,commune of Moldova,Cuhureștii de Sus,Nicolaevca
Ecaterinovca,40.33,1512,Moldova,Cimișlia District,commune of Moldova,Ecaterinovca,Ecaterinovca
Cîietu,2,1211,Moldova,Cantemir District,commune of Moldova,Cîietu,Cîietu
Cuhureștii de Sus,4.99,2173,Moldova,Florești District,commune of Moldova,Cuhureștii de Sus,Cuhureștii de Sus
Secăreni,5.26,1656,Moldova,Hîncești District,commune of Moldova,Secăreni,Secăreni
Scumpia,3.45,3243,Moldova,Fălești District,commune of Moldova,Scumpia,Scumpia
Răscăieți,47.83,3114,Moldova,Ștefan Vodă District,commune of Moldova,Răscăieți,Răscăieți
Purcari,4263,2368,Moldova,Ștefan Vodă District,commune of Moldova,Purcari,Purcari
Gradiște,44,2109,Moldova,Cimișlia District,commune of Moldova,Gradiște,Gradiște
