col0,col1,col2,col3,col4
2016 BRD Bucharest Open,2017 BRD Bucharest Open,2015 BRD Bucharest Open,Romania,Arenele BNR
2017 ASB Classic,2018 ASB Classic,2016 ASB Classic,New Zealand,ASB Tennis Centre
2017 St. Petersburg Ladies' Trophy,2018 St. Petersburg Ladies' Trophy,2016 St. Petersburg Ladies' Trophy,Russia,Sibur Arena
2016 Coupe Banque Nationale,2017 Coupe Banque Nationale,2015 Coupe Banque Nationale,Canada,PEPS
2016 Rakuten Japan Open Tennis Championships,2017 Rakuten Japan Open Tennis Championships,2015 Rakuten Japan Open Tennis Championships,Japan,Ariake Coliseum
2016 Toray Pan Pacific Open,2017 Toray Pan Pacific Open,2015 Toray Pan Pacific Open,Japan,Ariake Coliseum
2016 Japan Women's Open,2017 Japan Women's Open,2015 Japan Women's Open,Japan,Ariake Coliseum
2017 Apia International Sydney,2018 Sydney International,2016 Apia International Sydney,Australia,NSW Tennis Centre
2016 Ricoh Open,2017 Ricoh Open,2015 Topshelf Open,Netherlands,Autotron Rosmalen
2017 Hopman Cup,2018 Hopman Cup,2016 Hopman Cup,Australia,Perth Arena
