col0,col1,col2,col3
Mosaikbrunnen,public art,Alfred Friedrich Bluntschli,drinking fountain
Hedwig fountain,public art,Gustav Siber,fountain
Widmer-Zwyssig-Brunnen,public art,Franz Wanger,fountain
Dolphin Fountain,public art,anonymous,well
Amazonenbrunnen,public art,anonymous,well
Fountain Beckenhof Garden,public art,Johann Baptist Babel,well
Iris-Fountain,public art,Paul Sieber,well
Othmar-Schoeck-Foutain,public art,Peter Meister,well
Bänkelsänger Fountain,public art,Ernst Hebeisen,well
Brauer Fountain,public art,Emilio Stanzani,well
Fountain with three children,public art,Otto Münch,well
Waldmann fountain,public art,Eduard Zimmermann,well
Diana fountain,public art,Eduard Zimmermann,well
