col0,col1,col2,col3,col4
Furness Railway No. 3,United Kingdom of Great Britain and Ireland,"Bury, Curtis and Kennedy",preserved steam locomotive,Furness Railway
EMD TR6,United States of America,Electro-Motive Diesel,Cow-calf,Oliver Iron Mining Company
EMD TR5,United States of America,Electro-Motive Diesel,Cow-calf,Union Railroad
EMD TR6,United States of America,Electro-Motive Diesel,Cow-calf,Southern Pacific Transportation Company
EMD TR5,United States of America,Electro-Motive Diesel,Cow-calf,Union Pacific Railroad
EMD TR6,United States of America,Electro-Motive Diesel,Cow-calf,Electro-Motive Diesel
Pacific National XRB class,Australia,Pacific National,B unit,Pacific National
China Railways DF11Z,People's Republic of China,CRRC Qishuyan,double locomotive,Ministry of Railways
JGR DC11 class,Weimar Republic,MAN SE,prototype,Ministry of Railways
Russian locomotive class shch-el-1,Soviet Union,Baltic Shipyard,preserved diesel locomotive,Soviet Railways
2TE70,Russia,Kolomna Locomotive Works,double locomotive,Russian Railways
